APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2024-03-03,ARR,53792,4470,0,0,0,0,0,2,1,5,16,15,25,19,17,11,5,0,3,0,3,0,1,0,1,0,0,0
SBBR,2024-03-03,DEP,53792,4500,0,0,0,0,0,0,0,0,0,1,7,35,38,28,8,4,1,1,0,1,0,0,0,0,0,1
SBBR,2024-03-04,ARR,53792,4470,0,0,0,0,1,0,1,8,13,13,31,21,22,15,7,5,4,3,3,1,2,1,0,1,0,3
SBBR,2024-03-04,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,8,41,50,23,9,8,7,0,2,1,0,0,0,1,0,1
SBBR,2024-03-05,ARR,53792,4470,0,0,0,0,0,1,0,6,12,19,24,23,15,14,11,4,10,2,3,5,2,1,1,2,0,2
SBBR,2024-03-05,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,9,37,44,25,13,12,2,2,2,3,0,1,0,2,0,1
SBBR,2024-03-06,ARR,53792,4470,0,0,0,0,0,0,4,7,9,21,26,19,20,13,6,5,7,2,4,3,1,0,0,0,2,3
SBBR,2024-03-06,DEP,53792,4500,0,0,0,0,0,0,0,0,0,1,11,35,43,30,17,6,4,3,1,2,3,0,0,1,0,6
SBBR,2024-03-07,ARR,53792,4470,0,0,0,0,0,0,3,4,15,20,29,25,22,10,5,5,4,3,1,3,1,0,0,0,0,4
SBBR,2024-03-07,DEP,53792,4500,0,0,0,0,1,0,0,0,0,0,5,39,41,30,13,9,3,4,3,0,1,0,0,1,0,3
SBBR,2024-03-08,ARR,53792,4470,0,0,0,0,1,0,2,8,19,15,25,22,17,11,6,4,10,3,0,2,3,1,1,3,0,4
SBBR,2024-03-08,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,4,41,50,23,12,6,5,2,3,1,2,2,3,0,0,2
SBBR,2024-03-09,ARR,53792,4470,0,0,0,0,0,0,10,8,18,12,30,15,10,9,8,1,2,0,0,1,0,0,0,1,0,4
SBBR,2024-03-09,DEP,53792,4500,0,0,0,0,0,0,0,0,1,0,7,41,34,19,10,6,3,2,2,1,1,0,1,0,0,4
SBBR,2024-03-10,ARR,53792,4470,0,0,0,0,0,0,2,10,15,16,30,21,7,9,8,1,0,1,4,1,0,0,0,0,0,0
SBBR,2024-03-10,DEP,53792,4500,0,0,0,0,0,0,0,0,0,1,7,41,30,25,9,4,4,0,4,1,0,2,0,0,0,0
SBBR,2024-03-11,ARR,53792,4470,0,0,0,0,1,1,4,5,11,21,30,24,24,14,6,5,3,1,2,0,0,0,1,0,0,0
SBBR,2024-03-11,DEP,53792,4500,0,0,0,0,0,0,0,0,1,0,12,45,42,25,12,4,3,4,1,0,1,0,1,0,0,0
SBBR,2024-03-12,ARR,53792,4470,0,0,0,0,0,0,5,6,13,13,36,30,21,9,8,4,5,2,0,2,1,2,0,0,1,1
SBBR,2024-03-12,DEP,53792,4500,1,0,0,0,0,0,0,0,0,0,16,48,49,24,8,3,1,1,1,0,1,0,0,0,1,1
SBBR,2024-03-13,ARR,53792,4470,0,0,0,1,1,0,2,10,21,17,25,21,10,12,9,5,5,0,2,1,3,2,1,1,1,3
SBBR,2024-03-13,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,13,42,36,25,8,11,5,2,2,1,1,1,1,0,0,1
SBBR,2024-03-14,ARR,53792,4470,1,0,0,0,0,0,2,3,17,17,27,20,20,15,11,7,2,0,3,0,0,1,0,1,1,5
SBBR,2024-03-14,DEP,53792,4500,0,1,0,0,0,0,0,0,0,1,1,28,51,24,9,8,7,6,0,3,2,5,2,0,1,7
SBBR,2024-03-15,ARR,53792,4470,0,0,0,0,1,0,4,3,11,18,20,20,16,13,11,3,7,2,1,4,2,3,3,1,0,6
SBBR,2024-03-15,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,3,27,53,23,10,9,6,3,3,1,4,1,1,0,0,10
SBBR,2024-03-16,ARR,53792,4470,0,0,0,1,0,0,4,4,15,14,24,13,18,7,6,3,5,4,0,2,0,0,1,2,0,12
SBBR,2024-03-16,DEP,53792,4500,0,0,0,0,0,0,0,0,1,1,8,27,33,27,12,4,4,1,5,0,2,2,1,0,0,9
SBBR,2024-03-17,ARR,53792,4470,0,0,0,0,0,1,6,6,7,13,17,23,11,10,5,8,4,6,1,1,1,1,0,1,0,1
SBBR,2024-03-17,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,7,26,27,25,12,13,6,2,2,0,0,1,1,0,0,2
SBBR,2024-03-18,ARR,53792,4470,0,0,0,0,0,2,3,8,16,10,26,33,19,14,7,6,0,3,0,1,1,0,2,0,1,3
SBBR,2024-03-18,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,12,46,44,21,10,6,3,2,0,2,3,0,2,0,0,2
